title,artist,themes,speed,pnwchords_link,lyrics
Promises,Maverick City Music,"God's faithfulness to generations, trust in seasons, covenant assurance",middle,"https://pnwchords.com/promises","He's faithful through the ages God of Abraham, You're the God of covenant And faithful promises, yeah Time and time again You have proven You'll do just what You said Though the storms may come, and the winds may blow, I'll remain steadfast And let my heart learn when You speak a word, it will come to pass Everybody sing Great is Your faithfulness to me Great is Great is Your faithfulness to me From the rising sun From the rising sun to the setting same, I will praise your name Great is Your faithfulness to Great is Your faithfulness Great is Your faithfulness to me Oh, Jesus, Great is Your faithfulness Great is Your faithfulness to me Oh, Father From the rising sun From the rising sun to the setting same, I will praise your name Oh, great is Your faithfulness to me Whoa, your faithfulness, oh, God It never runs out, no It never runs out I put my faith in Jesus My anchor to the ground My hope and firm foundation He'll never let me down No I put my faith in Jesus Come on, sing it My anchor to the ground My anchor to the ground He's my hope My hope and firm foundation He'll never let me down (He'll never) I put my faith in Jesus (Oh, my anchor) My anchor to the ground (I'm not moving from Jesus, I'm not going from Jesus) My hope and firm foundation (he's a firm foundation) He'll never let me down (oh, He'll never let me down) He'll never let me down Great is Your faithfulness Great is Your faithfulness to me Oh, Jesus, when I look back at my life, Jesus You've been good to me Great is Your faithfulness to me Oh, Father, when I look back at my life, from the rising sun From the rising sun to the setting same, I will praise your name I'll praise You, great is Your faithfulness Great is Your faithfulness to me (oh, Jesus, oh, Jesus, oh, God) I put my faith I put my faith in Jesus (come on, sing it in faith) (My anchor) My anchor to the ground He's my only hope My hope and firm foundation (He's my only hope) He'll never let you down He'll never let me down (no never) I put my faith- I put my faith in Jesus (come on, sing it all) My anchor to the ground (Jesus is my hope) my hope and firm foundation He'll never let me down He'll never let me down No, never No, never I put my faith in Jesus (Oh, my anchor) my anchor to the ground (I'm sick here with Jesus) my hope and firm foundation (He'll never let) He'll never let me down He'll never let me down He'll never let me down So, I'll still bless You In the middle of the storm In the middle of my trial Oh, Father, I still bless You In the middle of the road When I don't know where to go I'll still bless You In the middle of my storm In the middle of my trial Yes, I'll still bless You Yes, I will When I'm in the middle of the road And I don't know which way to go I'll still I'll still bless You (oh) I'll still bless You I'll still bless You I'll still bless You I'll still bless You Oh, I'll still bless You 'Cause, Jesus, You've been good to me I'll still bless You I'll still bless You I'll still bless You I'll still bless You I'll still bless You Yes, I will I'll still bless You I'll still bless You Yes, I will (say) Yes, I will (yes, I will) Yes, I will (yes, I will) Yes, I will (yes, I will) Yes, I will (yes, I will) Yes, I will (I made up my mind) Yes, I will (I made up my mind) Yes, I will (to bless You in the fire) Yes, I will (to bless You in the snow) Yes, I will (to bless You on the mountain) Yes, I will (to bless You, in the valley) Yes, I will (to bless You in anxiety) Yes, I will (to bless You in depression) Yes, I will (to bless You when I'm grieving) Yes, I will (to bless You when I'm happy) Yes, I will (to bless You when I'm tired) Yes, I will (to bless You when I'm sick) Yes, I will Yes, I will (yes, I will) Yes, I will (yes, I will) I made up my mind (yes, I will) I made up my mind (yes, I will) I made up my mind (yes, I will) Yes, I will (yes, I will) Yes, I will (yes, I will) Yes, I will So, from the rising sun to the setting same, I will praise your name I made up my mind From the rising sun to the setting same, I will praise your name I still got my hallelujah From the rising sun to the setting same, I will praise your name Oh, great is Your faithfulness to me I still got my hallelujah I still got my hallelujah (still got my hallelujah) I still got my hallelujah (still got my hallelujah) I still got my hallelujah (still got my hallelujah) I still got my hallelujah (still got my hallelujah) The devil couldn't take it I still got my hallelujah (still got my hallelujah) The sickness couldn't take it I still got my hallelujah (still got my hallelujah) The trial couldn't take it I still got my hallelujah (still got my hallelujah) My sins couldn't take it I still got my hallelujah (still got my hallelujah) I still got my hallelujah (still got my hallelujah) The sorrow couldn't take it I still got my hallelujah (still got my hallelujah) The shame couldn't take it Still got my hallelujah (still got my hallelujah) Still got my hallelujah (still got my hallelujah) Still got my hallelujah (still got my hallelujah) So you can have the hallelujah (still got my hallelujah) Still got my hallelujah (still got my hallelujah) From the rising sun to the setting same, I will praise your name I still got my hallelujah From the rising sun to the setting same, I will praise your name I still got my hallelujah From the rising sun to the setting same, I will praise your name Great is Your faithfulness to me"
Reckless Love,Cory Asbury,"God's pursuit of the lost, overwhelming grace, love without limits",middle,"https://pnwchords.com/reckless-love","Before I spoke a word, You were singing over me You have been so, so good to me Before I took a breath, You breathed Your life in me You have been so, so kind to me Oh, the overwhelming, never-ending, reckless love of God Oh, it chases me down, fights 'til I'm found, leaves the 99 And I couldn't earn it, and I don't deserve it, still, You give Yourself away Oh, the overwhelming, never-ending, reckless love of God When I was Your foe, still Your love fought for me You have been so, so good to me When I felt no worth, You paid it all for me You have been so, so kind to me Oh, the overwhelming, never-ending, reckless love of God Oh, it chases me down, fights 'til I'm found, leaves the 99 And I couldn't earn it, and I don't deserve it, still, You give Yourself away Oh, the overwhelming, never-ending, reckless love of God There's no shadow You won't light up Mountain You won't climb up Coming after me There's no wall You won't kick down Lie You won't tear down Coming after me There's no shadow You won't light up Mountain You won't climb up Coming after me There's no wall You won't kick down Lie You won't tear down Coming after me There's no shadow You won't light up Mountain You won't climb up Coming after me There's no wall You won't kick down Lie You won't tear down Coming after me Oh, the overwhelming, never-ending, reckless love of God Oh, it chases me down, fights 'til I'm found, leaves the 99 I couldn't earn it, I don't deserve it, still, You give Yourself away Oh, the overwhelming, never-ending, reckless love of God"
Same God,Elevation Worship,"God’s consistency across generations, answered prayers, unchanging character",middle,"https://pnwchords.com/same-god","I'm calling on the God of Jacob Whose love endures through generations I know that You will keep Your covenant I'm calling on the God of Moses The one who opened up the ocean I need You now to do the same thing for me For me, for me O God, my God, I need You O God, my God, I need You now How I need You now O Rock, O Rock of ages I'm standing on Your faithfulness On Your faithfulness I'm calling on the God of Mary Whose favor rests upon the lowly I know with You all things are possible I'm calling on the God of David Who made a shepherd boy courageous I may not face Goliath But I've got my own giants O God, my God, I need You O God, my God, I need You now How I need You now, yes O Rock, O Rock of ages I'm standing on Your faithfulness On Your faithfulness O God, my God, I need You (I need You Lord) O God, my God, I need You now How I need You now, yeah O Rock, O Rock of ages I'm standing on Your faithfulness On Your faithfulness It's your faithfulness I'm standing on Never changes, never changes You heard Your children then You hear Your children now You are the same God You are the same God You answered prayers back then And You will answer now You are the same God You are the same God You were providing then You are providing now You are the same God (You are the same) You are the same God You moved in power then God, move in power now You are the same God You are the same God You were a healer then You are a healer now You are the same God You are the same God You were a savior then You are a savior now You are the same God You are the same God O God, my God, I need You (lift it up) O God, my God, I need You now (how we need You now) How I need You now (we stand in faithfulness) O Rock, O Rock of ages I'm standing on Your faithfulness Oh, on Your faithfulness O God, my God, I need You O God, my God, I need You now How I need You now (oh-oh) O Rock, O Rock of ages I'm standing on Your faithfulness On Your faithfulness On Your faithfulness, God You're faithful God Jesus, You're the same Yesterday, today, and forever You're the same God (yes, You are) You're the same God This is who we worship tonight, yeah He's the same, He's the same, oh God How I need You, yeah How I need You, yeah You freed the captives then You're freeing hearts right now You are the same God You are the same God You touched the lepers then I feel Your touch right now You are the same God You are the same God Never changing Oh, forever We feel You now You're the same God You're the same God, yeah How we need You now, yeah I'm calling on the Holy Spirit Almighty River, come and fill me again (Let that be your prayer tonight) Come and fill me again (Come and fill me) Come and fill me again"
Son of Suffering,Hillsong Worship,"Christ's empathy with human pain, sacrificial love, nearness in suffering",slow,"https://pnwchords.com/son-of-suffering","Oh, the perfect Son of God In all His innocence Here walking in the dirt with you and me He knows what living is He's acquainted with our grief Man of sorrows, Son of suffering The blood and tears How can it be? There's a God who weeps There's a God who bleeds Oh, praise the One Who would reach for me Hallelujah to the Son of suffering Some imagine You Are distant and removed But You chased us down in merciful pursuit To the sinner You were grace And the broken You embraced And in the end, the proof is in Your wounds Yes, in the end, the proof is in Your wounds Blood and tears How can it be? There's a God who weeps There's a God who bleeds Oh, praise the One Who would reach for me Hallelujah to the Son of suffering Oh, blood and tears How can it be? There's a God who weeps There's a God who bleeds Oh, praise the One Who would reach for me, even me Sing hallelujah to the Son of suffering Hallelujah Your cross, my freedom Your stripes, my healing All praise King Jesus Glory to God in Heaven Your blood, still speaking Your love, still reaching All praise King Jesus Glory to God forever Your cross, my freedom Your stripes, my healing All praise King Jesus Glory to God in Heaven Your blood, still speaking Your love, still reaching All praise King Jesus Glory to God forever Your cross, my freedom Your stripes and my healing All praise King Jesus Glory to God in Heaven Your blood is still speaking Your love is still reaching All praise King Jesus Glory to God forever Glory to God (Glory to God forever) glory to God (Glory to God forever) all your blood, your love (Glory to God forever) your cost, glory to God Glory to God forever Oh, blood and tears How can it be? That there's a God who weeps There's a God who bleeds Oh, praise the One Who would reach for me Sing hallelujah to the Son of suffering, who gave up his life Hallelujah to the Son of suffering Sing hallelujah to the Son of suffering Your cross, my freedom Your stripes, my healing All praise King Jesus Glory to God in Heaven Your blood, still speaking Oh, it's your love, is still reaching Give your praise (King Jesus) yeah Give glory to God forever Your cross, my freedom Your stripes and my healing All praise King Jesus Glory to God in Heaven Your blood, still speaking Your love is still reaching All praise King Jesus Glory to God forever Your cross, my freedom Your stripes and my healing All praise King Jesus Glory to God in Heaven Your blood is still speaking Your love is still reaching All praise King Jesus Glory to God forever Give glory Give Him all the glory To the love, to the blood, to the cross Give Him all the glory"
Still,Hillsong Worship,"finding peace in God's presence, surrendering fear, divine rest",slow,"https://pnwchords.com/still","Hide me now Under Your wings Cover me Within Your mighty hand When the oceans rise and thunders roar I will soar with You above the storm Father, You are King over the flood I will be still, know You are God Find rest, my soul In Christ alone Know His power In quietness and trust When the oceans rise and thunders roar I will soar with You above the storm Father, You are king over the flood I will be still, know You are God When the oceans rise and thunders roar I will soar with You above the storm (oh, I will) Father, You are king over the flood And I will be still, know You are God My God, Lord yeah My God, Lord Oh, You are my God My God, my God, yeah Oh Jesus Oh Jesus, oh Jesus Oh Jesus Oh Lord Find rest, my soul In Christ alone, oh yeah Know His power In quietness and trust When the oceans rise and thunders roar I will soar with You above the storm (oh, yes I will) Father, You are King over the flood I will be still and know You are God When the oceans rise and thunders roar I will soar with You above the storm Father, You are King over the flood (let me sing, You're God) I will be still, know You are God Oh yes, You are, oh yes, You are Oh-whoa, oh God"
Goodness of God,Bethel Music,"lifelong faithfulness, gratitude for God’s goodness, surrender",slow,"https://pnwchords.com/the-goodness-of-god-bethel-worship/","I love You, Lord For Your mercy never fails me All my days, I've been held in Your hands From the moment that I wake up Until I lay my head Oh, I will sing of the goodness of God 'Cause all my life You have been faithful And all my life You have been so, so good With every breath that I am able Oh, I will sing of the goodness of God I love Your voice You have led me through the fire In darkest night You are close like no other I've known You as a Father I've known You as a Friend And I have lived in the goodness of God, yeah 'Cause all my life You have been faithful, oh yes You have And all my life You have been so, so good With every breath that I am able Oh, I will sing of the goodness of God Your goodness is running after, it's running after me Your goodness is running after, it's running after me With my life laid down, I surrendered now I give You everything, oh Lord Your goodness is running after, it's running after me Your goodness is running after, it's running after me (oh yeah, oh yeah) Your goodness is running after, it's running after me With my life laid down, I surrendered now I give You everything Your goodness is running after, it keeps running after me And all my life You have been faithful And all my life You have been so, so good With every breath that I am able Oh, I'm gonna sing of the goodness of God I'm gonna sing All my life You have been faithful (All of my life You've been faithful) All my life You have been so, so good (So good with every breath) every breath that I am able (Every breath I'm able) I will sing (I'm gonna sing) Of the goodness (of the goodness of God, yes I am) I'm gonna sing of the goodness of God Oh, I'm gonna sing of the goodness of God"
Waymaker,Sinach,"miracle-working power, God's presence in darkness, faith in unseen",middle,"https://pnwchords.com/way-maker","You are here Moving in our midst I worship you I worship you You are here Working in this place I worship you I worship you You are here Moving in our midst I worship you I worship you You are here Working in this place I worship you I worship you Way maker Miracle worker Promise keeper Light in the darkness My God That is who you are Way maker Miracle worker Promise keeper Light in the darkness My God That is who you are You are here Touching every heart I worship you I worship you You are here Healing every heart I worship you I worship you You are here Turning lives around I worship you I worship you You are here Mending every heart I worship you I worship you Way maker Miracle worker Promise keeper Light in the darkness That is who you are Way maker Miracle worker Promise keeper Light in the darkness My God That is who you are You wipe away all tears You mend the broken heart You're the answer to it all Jesus You wipe away all tears You mend the broken heart You're the answer to it all (to it all) Jesus Way maker Miracle worker Promise keeper Light in the darkness My God That is who you are Way maker Miracle worker Promise keeper Light in the darkness My God That is who you are You are here Touching every life I worship you I worship you You are here Meeting every need I worship you I worship you"
Worthy,Elevation Worship,"Christ's worthiness, joining heaven’s song, reverence and awe",slow,"https://pnwchords.com/worthy","It was my cross You bore So I could live in the freedom You died for And now my life is Yours And I will sing of Your goodness forevermore Worthy is Your name, Jesus You deserve the praise Worthy is Your name Worthy is Your name, Jesus You deserve the praise Worthy is Your name And now my shame is gone I stand amazed in Your love undeniable Your grace goes on and on And I will sing of Your goodness forevermore Worthy is Your name, Jesus You deserve the praise Worthy is Your name Worthy is Your name, Jesus You deserve the praise Worthy is Your name Worthy is Your name, Jesus You deserve the praise Worthy is Your name Worthy is Your name, Jesus You deserve the praise Worthy is Your name Be exalted now in the heavens As Your glory fills this place You alone deserve our praise You're the name above all names Be exalted now in the heavens As Your glory fills this place You alone deserve our praise You're the name above all names Be exalted now in the heavens As Your glory fills this place You alone deserve our praise You're the name above all names Be exalted now in the heavens As Your glory fills this place You alone deserve our praise You're the name above all names Be exalted now in the heavens As Your glory fills this place You alone deserve our praise You're the name above all names Be exalted now in the heavens As Your glory fills this place You alone deserve our praise You're the name above all names Worthy is Your name, Jesus You deserve the praise Worthy is Your name Worthy is Your name, Jesus You deserve the praise Worthy is Your name Worthy is Your name, Jesus You deserve the praise Worthy is Your name Worthy is Your name, Jesus You deserve the praise Worthy is Your name Oh, oh"
I Believe,Hillsong Worship,"declaration of faith, trust in God's promises, perseverance through trials",fast,"https://pnwchords.com/i-believe","I believe there is one salvation One doorway that leads to life One redemption, one confession I believe in the name of Jesus Christ, hey I believe in the crucifixion By His blood, I have been set free I believe in the resurrection Hallelujah, His life is death's defeat All praise to God the Father All praise to Christ the Son All praise to the Holy Spirit Our God has overcome The King who was and is and evermore will be In Jesus mighty name, I believe I believe, I believe I believe in the hope of Heaven He's preparing a place for me Far beyond what hearts imagine Ears have heard or eyes have seen I believe that a day is coming He's returning to claim His bride Light the altar, keep it burning See the Lamb who rose a roaring Lion All praise to God the Father All praise to Christ the Son All praise to the Holy Spirit Our God has overcome The King who was and is and evermore will be In Jesus mighty name, I believe Oh, I believe in You No, I'll never be ashamed of the gospel of Jesus Christ How could I ever walk away from the One who saved my life? No, I'll never be ashamed of the gospel of Jesus Christ How could I ever walk away from the One who saved my life? Oh, no, I'll never be ashamed of the gospel of Jesus Christ How could I ever walk away from the One who saved my life? Yeah All praise to God the Father (to the Lord, I praise) All praise to Christ the Son (to Christ the Son) All praise to the Holy Spirit Our God has overcome The King who was and is and evermore will be In Jesus mighty name, I believe And all praise to God Our Father All praise to Christ the Son All praise to the Holy Spirit Our God has overcome The King who was and is and evermore will be In Jesus mighty name, I believe In Jesus mighty name, I believe I believe, I believe I believe, I believe"
The Blessing,Elevation Worship,"God’s favor and protection, generational blessing, peace and provision",slow,"https://pnwchords.com/the-blessing","The Lord bless you and keep you Make His face shine upon you and be gracious to you The Lord turn His face toward you And give you peace The Lord bless you and keep you Make His face shine upon you and be gracious to you The Lord turn His face toward you And give you peace Amen, amen, amen Amen, amen, amen The Lord bless you and keep you Make His face shine upon you and be gracious to you The Lord turn His face toward you And give you peace Amen, amen, amen Amen, amen, amen Amen, amen, amen Amen, amen, amen May His favor be upon you And a thousand generations And your family and your children And their children, and their children May His favor be upon you And a thousand generations And your family and your children And their children, and their children May His favor be upon you And a thousand generations And your family and your children And their children, and their children May His favor be upon you And a thousand generations And your family and your children And their children, and their children May His presence go before you And behind you, and beside you All around you, and within you He is with you, he is with you In the morning, in the evening In your coming, and your going In your weeping, and rejoicing He is for you, he is for you He is, He is Amen, amen, amen Amen, amen, amen Amen, amen, amen Amen, amen, amen"
Beautiful One,Jeremy Camp,"adoration of God’s beauty, reverence, heartfelt worship",fast,"https://pnwchords.com/beautiful-one","Wonderful, so wonderful Is Your unfailing love Your cross has spoken mercy over me No eye has seen no ear has heard No heart could fully know How glorious, how beautiful You are Beautiful One I love You're beautiful One I adore Beautiful One, my soul must sing Powerful, so powerful Your glory fills the skies Your mighty works displayed for all to see The beauty of Your majesty Awakes my heart to see How marvellous how wonderful You are Beautiful One I love You're beautiful One I adore Beautiful One, my soul must sing Beautiful One I love You're beautiful One I adore Beautiful One, my soul must sing You opened my eyes to Your wonders anew You captured my heart with this love 'Cause nothing on earth is as beautiful as You You opened my eyes to Your wonders anew You captured my heart with this love 'Cause nothing on earth is as beautiful as You Beautiful One I love You're beautiful One I adore Beautiful One, my soul must sing Beautiful One I love You're beautiful One I adore Beautiful One, my soul must sing And You opened my eyes to Your wonders anew You captured my heart with this love Because nothing on earth is as beautiful as You"
Open the Eyes of My Heart,Paul Baloche,"spiritual revelation, longing for God's presence, openness to transformation",fast,"https://pnwchords.com/open-the-eyes-of-my-heart","Open the eyes of my heart, Lord Open the eyes of my heart I want to see You I want to see You Open the eyes of my heart, Lord Open the eyes of my heart I want to see You I want to see You To see You high and lifted up Shinin' in the light of Your glory Pour out Your power and love As we sing holy, holy, holy Open the eyes of my heart, Lord Open the eyes of my heart I want to see You I want to see You Open the eyes of my heart, Lord Open the eyes of my heart I want to see You I want to see You To see You high and lifted up Shinin' in the light of Your glory Pour out Your power and love As we sing holy, holy, holy To see You high and lifted up Shinin' in the light of Your glory Pour out Your power and love As we sing holy, holy, holy To see You high and lifted up Shinin' in the light of Your glory Pour out Your power and love As we sing holy, holy, holy Holy, holy, holy We cry holy, holy, holy You are holy, holy, holy I want to see you Holy, holy, holy Holy, holy, holy You are holy, holy, holy I want to see you Holy, holy, holy Holy, holy, holy Holy, holy, holy I want to see you Holy, holy, holy Holy, holy, holy Holy, holy, holy I want to see you Holy, holy, holy Holy, holy, holy Holy, holy, holy, I want to see you Holy, holy, holy Holy, holy, holy Holy, holy, holy, I want to see you Holy, holy, holy Holy, holy, holy Holy, holy, holy, I want to see you Holy, holy, holy Holy, holy, holy Holy, holy, holy, I want to see you"
Give Us Clean Hands,Chris Tomlin,"repentance and purity, surrender to God’s will, holiness in worship",middle,"https://pnwchords.com/give-us-clean-hands","We bow our hearts, we bend our knees Oh Spirit come make us humble We turn our eyes from evil things Oh Lord we cast down our idols So give us clean hands and give us pure hearts Let us not lift our souls to another Oh give us clean hands and give us pure hearts Let us not lift our souls to another Oh God let this be a generation that seeks Who seeks Your face, oh God of Jacob Oh God let us be a generation that seeks Who seeks Your face, oh God of Jacob We bow our hearts, we bend our knees Oh Spirit come make us humble We turn our eyes from evil things Oh Lord we cast down our idols So give us clean hands and give us pure hearts Let us not lift our souls to another Give us clean hands, oh God and give us pure hearts Let us not lift our souls to another Oh God let us be a generation that seeks Who seeks Your face, oh God of Jacob Oh God let us be a generation that seeks Who seeks Your face, oh God of Jacob Oh God of Jacob (Give us clean hands) So give us clean hands and give us pure hearts Let us not lift our souls to another Give us clean hands, oh God and give us pure hearts Let us not lift our souls to another Oh God let us be a generation that seeks Who seeks Your face, oh God of Jacob Oh God let us be a generation that seeks Who seeks Your face, oh God of Jacob Oh God of Jacob Oh God of Jacob Give us clean hands and give us pure hearts Let us not lift our souls to another Give us clean hands, oh God and give us pure hearts Let us not lift our souls to another Oh God let us be a generation that seeks Who seeks Your face, oh God of Jacob Oh God let us be a generation that seeks Who seeks Your face, oh God of Jacob Oh God of Jacob"
This Is Amazing Grace,Phil Wickham,"God’s unearned favor, salvation through Jesus, celebration of grace",fast,"https://pnwchords.com/this-is-amazing-grace","Who breaks the power of sin and darkness? Whose love is mighty and so much stronger? The King of glory, the King above all kings Who shakes the whole earth with holy thunder? And leaves us breathless in awe and wonder? The King of glory, the King above all kings This is amazing grace This is unfailing love That You would take my place That You would bear my cross You laid down Your life That I would be set free Oh, Jesus, I sing for All that You've done for me Who brings our chaos back into order? Who makes the orphans a son and daughter? The King of glory, the King of glory Who rules the nations with truth and justice Shines like the sun in all of its brilliance The King of glory, the King above all kings This is amazing grace This is unfailing love That You would take my place That You would bear my cross You laid down Your life That I would be set free Oh, Jesus, I sing for All that You've done for me Worthy is the Lamb who was slain Worthy is the King who conquered the grave Worthy is the Lamb who was slain Worthy is the King who conquered the grave Worthy is the Lamb who was slain Worthy is the King who conquered the grave Worthy is the Lamb who was slain Worthy, worthy, worthy This is amazing grace This is unfailing love That You would take my place That You would bear my cross You laid down Your life That I would be set free Oh, Jesus, I sing for All that You've done for me All that You've done for me"
Our God,Chris Tomlin,"God’s power and majesty, victory over fear, assurance in His strength",middle,"https://pnwchords.com/our-god","Water You turned into wine Opened the eyes of the blind There's no one like You None like You Into the darkness You shine Out of the ashes we rise There's no one like You None like You Our God is greater, our God is stronger God, You are higher than any other Our God is healer, awesome in power Our God, our God Into the darkness You shine Out of the ashes we rise There's no one like You None like You Our God is greater, our God is stronger God, You are higher than any other Our God is healer, awesome in power Our God, our God Our God is greater, our God is stronger God, You are higher than any other Our God is healer, awesome in power Our God, our God And if our God is for us, then who could ever stop us? And if our God is with us, then what can stand against? And if Our God is for us, then who could ever stop us And if our God is with us, then what can stand against? Then what could stand against? Our God is greater, our God is stronger God, You are higher than any other Our God is healer, awesome in power Our God, our God Our God is greater, our God is stronger God, You are higher than any other Our God is healer, awesome in power Our God, our God And if our God is for us, then who could ever stop us? And if our God is with us, then what can stand against? And if Our God is for us, then who could ever stop us And if our God is with us, then what can stand against? What could stand against? What can stand against? (What could stand)"
Your Grace Is Enough,Chris Tomlin,"sufficiency of God's grace, dependence on Him, joy in salvation",fast,"https://pnwchords.com/your-grace-is-enough","Great is Your faithfulness, o God You wrestle with the sinner's heart You lead us by still waters and to mercy And nothing can keep us apart So remember Your people Remember Your children Remember Your promise, o God Your grace is enough Your grace is enough Your grace is enough for me Great is Your love and justice, God You use the weak to lead the strong You lead us in the song of Your salvation And all Your people sing along So remember Your people Remember Your children Remember Your promise, o God Your grace is enough Your grace is enough Your grace is enough for me Yeah, Your grace is enough Your grace is enough Your grace is enough for me So remember Your people Remember Your children Remember Your promise, o God Your grace is enough Your grace is enough Your grace is enough for me Yeah, Your grace is enough Heaven reaching down to us Your grace is enough for me God, I see Your grace is enough I'm covered in Your love Your grace is enough for me, for me"
King of My Heart,Bethel Music,"God’s goodness and love, refuge in Him, deep personal devotion",middle,"https://pnwchords.com/king-of-my-heart","Let the King of my heart Be the mountain where I run The fountain I drink from Oh, He is my song Let the King of my heart Be the shadow where I hide The ransom for my life Oh, He is my song 'Cause You are good You are good, oh oh You are good You are good, oh oh You are good You are good, oh oh You are good You are good, oh oh And let the King of my heart Be the wind inside my sails The anchor in the waves Oh oh, He is my song Let the King of my heart Be the fire inside my veins The echo of my days Oh oh, He is my song Let the King of my heart Be the wind inside my sails The anchor in the waves Oh oh, He is my song Let the King of my heart Be the fire inside my veins The echo of my days Oh, He is my song 'Cause You are good You are good, oh oh You are good You are good, oh oh You are good You are good, oh oh You are good You are good, oh oh You're never gonna let You're never gonna let me down And You're never gonna let You're never gonna let me down You're never gonna let You're never gonna let me down You're never gonna let You're never gonna let me down You're never gonna let You're never gonna let You're never gonna let me down You're never gonna let You're never gonna let me down You're never gonna let You're never gonna let me down Oh 'cause You are good You are good, oh oh 'Cause You are good You are good, oh oh 'Cause You are good You are good, oh oh You are good You are good, oh oh You're never gonna let You're never gonna let me down You're never gonna let You're never gonna let me down You're never gonna let You're never gonna let me down You're never gonna let You're never gonna let me down 'Cause You are good You are good, oh oh You are good You are good, oh oh"
Lion and the Lamb,Bethel Music,"Christ’s dual nature as conqueror and servant, victory over evil, praise",fast,"https://pnwchords.com/lion-and-the-lamb","He's coming on the clouds, He's coming on the clouds, Kings and kingdoms will bow down, And every chain will break, As broken hearts declare His praise, For who can stop the Lord Almighty, And our God is the lion, The Lion of Judah, He's roaring with power, And fighting our battles, And every knee will bow before Him, Our God is the lamb, The lamb that was slain, For the sins of the world, His blood breaks the chains, And every knee will bow before the lion and the lamb, Every knee will bow before Him (yeah), So, open up the gates, So, open up the gates, Make way before the King of Kings, The God who comes to save, Is here to set the captives free, For who can stop the Lord Almighty, Our God is the lion, The Lion of Judah, He's roaring with power, And fighting our battles, And every knee will bow before Him, Our God is the lamb, The lamb that was slain, For the sin of the world, His blood breaks the chains, And every knee will bow before the lion and the lamb, Every knee will bow before Him, How many here believe Every knee will bow Every tongue will confess And then, For who can stop the Lord Almighty, Who can stop the Lord Almighty, Who can stop the Lord Almighty, No one, Who can stop, Sing it over the battle, Yeah, that's it, Who can stop the Lord Almighty, There is no one, Who can stop the Lord Almighty, Who can stop the Lord (yeah), And our God is the lion, The Lion of Judah, He's roaring with power, And fighting our battles, And every knee will bow before Him, Our God is the lamb, The lamb that was slain, For the sins of the world, His blood breaks the chains, And every knee will bow before the lion and the lamb, Every knee will bow before Him (yeah), Every knee will bow, Tongue confess."
Deep Cries Out,Bethel Music,"passionate worship, emotional surrender, thirst for God’s presence",fast,"https://pnwchords.com/deep-cries-out","I've got a river of living water, a fountain that never will run dry, it's an open heaven You're releasing, and we will never be denied, 'cause we're stirrin' up deep, deep wells, we're stirrin' up deep, deep waters, we're gonna dance in the river, dance in the river, 'cause we're stirrin' up deep, deep wells, we're stirrin' up deep, deep waters, we're gonna jump in the river, jump in the river, deep cries out to, deep cries out to You, deep cries out to, deep cries out to You, we cry out to, we cry out to You, Jesus, I've got a river of living water, a fountain that never will run dry, it's an open heaven You're releasing, and we will never be denied, 'cause we're stirrin' up deep, deep wells, we're stirrin' up deep, deep waters, we're gonna dance in the river, dance in the river, 'cause we're stirrin' up deep, deep wells, we're stirrin' up deep, deep waters, we're gonna jump in the river, jump in the river (now everybody sing it out), deep cries out to, deep cries out to You, deep cries out to, deep cries out to You, we cry out to, we cry out to You, Jesus, deep cries out to, deep cries out to You, deep cries out to, deep cries out to You, we cry out to, we cry out to You, Jesus, we're falling into deeper waters, calling out to You, we're walking into deeper waters, going after You (everybody clap your hands), if He goes to the left, then we'll go to the left, and if He goes to the right, then we'll go to the right, we're gonna jump, jump, jump, jump in the river, jump, jump, jump, jump, everybody, if He goes to the left, then we'll go to the left, and if He goes to the right, then we'll go to the right, we're gonna dance, dance, dance, dance in the river, dance, dance, dance, dance, everybody, if He goes to the left, then we'll go to the left, and if He goes to the right, then we'll go to the right, we're gonna shout, shout, shout, shout in the river, shout, shout, shout, shout (yeah), deep cries out to, deep cries out to You, deep cries out to, deep cries out to You, we cry out to, we cry out to You, Jesus (yeah), deep cries out to, deep cries out to You, deep cries out to, deep cries out to You, we cry out to, we cry out to You, Jesus (yeah)"
